name_of_centre,location_of_centre,type_of_centre,owner,no_of_stalls,no_of_cooked_food_stalls,no_of_mkt_produce_stalls,postal_code
Adam Road Food Centre,"2, Adam Road, S(289876)",HC,Government,32,32,0,289876
Amoy Street Food Centre,"National Development Building, Annex B, Telok Ayer Street, S(069111)",HC,Government,135,134,1,69111
Bedok Food Centre,"1, Bedok Road, S(469572)",HC,Government,32,32,0,469572
Beo Crescent Market,"38A, Beo Crescent, S(169982)",MHC,Government,94,32,62,169982
Berseh Food Centre,"166, Jalan Besar, S(208877)",HC,Government,66,66,0,208877
Bukit Timah Market,"51, Upper Bukit Timah Road, S(588215)",MHC,Government,179,84,95,588215
Chomp Chomp Food Centre,"20, Kensington Park Road, S(557269)",HC,Government,36,36,0,557269
Commonwealth Crescent Market,"31, Commonwealth Crescent, S(149644)",MHC,Government,102,39,63,149644
Dunman Food Centre,"271, Onan Road, S(424768)",HC,Government,30,30,0,424768
East Coast Lagoon Food Village,"1220, East Coast Parkway, S(468960)",HC,Government,63,63,0,468960
Geylang Serai Market,"Geylang Serai, S(402001)",MHC,Government,365,63,302,402001
Golden Mile Food Centre,"505, Beach Road, S(199583)",MHC,Government,223,112,111,199583
Holland Village Market & Food Centre,"1, Lorong Mambong, S(277700)",MHC,Government,69,21,48,277700
Kallang Estate Market,"17, Old Airport Road, S(397972)",MHC,Government,94,16,78,397972
Market Street Food Centre,"50, Market Street, Golden Shoe Multi-Storey Car Park, 2nd/3rd Storey, S(048940)",HC,Government,76,76,0,48940
Maxwell Food Centre,"1, Kadayanallur Street, S(069184)",HC,Government,103,103,0,69184
Newton Food Centre,"500, Clemenceau Ave North, S(229495)",HC,Government,83,83,0,229495
North Bridge Road Market & Food Centre,"861, North Bridge Road, S(198783)",MHC,Government,119,37,82,198783
Pasir Panjang Food Centre,"121, Pasir Panjang Road, S(118543)",HC,Government,45,45,0,118543
Serangoon Garden Market,"49A, Serangoon Garden Way, S(555945)",MHC,Government,82,46,36,555945
Sembawang Hill Food Centre,"590, Upper Thomson Road, S(574419)",HC,Government,36,36,0,574419
Taman Jurong Market & Food Centre,"3, Yung Sheng Road, S(618499)",MHC,Government,180,123,57,618499
Tanglin Halt Market,"48A, Tanglin Halt Road, S(148813)",MHC,Government,117,28,89,148813
Tiong Bahru Market,"30, Seng Poh Road, S(168898)",MHC,Government,342,83,259,168898
Zion Riverside Food Centre,"70, Zion Road, S(247792)",HC,Government,32,32,0,247792
ABC Brickworks Market & Food Centre,"Blk 6, Jalan Bukit Merah, S(150006)",MHC,HDB,144,96,48,150006
Albert Centre Market & Food Centre,"Blk 270, Queen Street, S(180270)",MHC,HDB,234,86,148,180270
Alexandra Village Food Centre,"Blk 120, Bukit Merah Lane, S(150120)",HC,HDB,88,88,0,150120
Blk 1 Jalan Kukoh,"Blk 1, Jalan Kukoh, S(161001)",HC,HDB,21,21,0,161001
Blk 105 Hougang Ave 1,"Blk 105, Hougang Ave 1, S(530105)",MHC,HDB,171,51,120,530105
Blk 11 Telok Blangah Crescent,"Blk 11, Telok Blangah Crescent, S(090011)",MHC,HDB,133,56,77,90011
Blk 112 Jalan Bukit Merah,"Blk 112, Jalan Bukit Merah, S(160112)",MHC,HDB,80,22,58,160112
Blk 115 Bukit Merah View,"Blk 115, Bukit Merah View, S(151115)",MHC,HDB,182,84,98,151115
Blk 117 Aljunied Ave 2,"Blk 117, Aljunied Ave 2, S(380117)",MHC,HDB,161,79,82,380117
Blk 127 Toa Payoh Lorong 1,"Blk 127, Lorong 1 Toa Payoh, S(310127)",MHC,HDB,148,40,108,310127
Blk 137 Tampines Street 11,"Blk 137, Tampines Street 11, S(521137)",MHC,HDB,144,45,99,521137
Blk 159 Mei Chin Road,"Blk 159, Mei Chin Road, S(140159)",MHC,HDB,113,47,66,140159
Blk 16 Bedok South Road,"Blk 16, Bedok South Road, S(460016)",MHC,HDB,194,64,130,460016
Blk 163 Bukit Merah Central,"Blk 163, Bukit Merah Central, S(150163)",HC,HDB,57,57,0,150163
Blk 17 Upper Boon Keng Road,"Blk 17, Upper Boon Keng Road, S(380017)",MHC,HDB,144,84,60,380017
Blk 20 Ghim Moh Road,"Blk 20, Ghim Moh Road, S(270020)",MHC,HDB,230,72,158,270020
Blk 208B New Upper Changi Road,"Blk 208B, New Upper Changi Road, S(462208)",HC,HDB,70,70,0,462208
Blk 210 Toa Payoh Lorong 8,"Blk 210, Lorong 8 Toa Payoh, S(310210)",MHC,HDB,157,80,77,310210
