tip,category
Ask for ‘Kopi-C Siew Dai’ to impress locals with your kopi lingo.,Food & Drink
Skip Starbucks — try a kopi peng (iced coffee) from a kopitiam.,Food & Drink
Taste chilli crab with your hands — it’s messy but worth it.,Food & Drink
Order food using numbers at hawker stalls — locals love speed.,Food & Drink
Try economic rice (‘cai png’) and point at dishes like a pro.,Food & Drink
Buy breakfast at 7am — locals queue early for the best bites.,Food & Drink
"Use 'lah', 'leh', and 'lor' to sound authentically Singaporean.",Language & Communication
Say 'can!' to agree enthusiastically in true local fashion.,Language & Communication
Catch the MRT during rush hour to experience the human sandwich.,Transport
"Hold the rail, not your phone — MRT rides can get bumpy.",Transport
Reserve seats with tissue packs — locals call it ‘chope’ culture.,Etiquette
Address hawker stall uncles and aunties respectfully.,Etiquette
Don’t chew gum — it’s banned and a surefire tourist giveaway.,Etiquette
Try HDB rooftop gardens — hidden gems locals frequent.,Nature & Outdoors
Hike MacRitchie and spot cheeky monkeys (but don't feed them!).,Nature & Outdoors
Cycle from Marina Bay to East Coast Park for stunning sea views.,Nature & Outdoors
Eat durian at night like a true Singaporean — follow the smell.,Food & Drink
Order ‘zero percent sugar’ bubble tea — sweet by default here!,Food & Drink
Visit Little India on Sundays to see it at its liveliest.,Culture & History
Go to Geylang Serai during Ramadan bazaars — food heaven.,Festivals & Events
Explore hawker stalls late at night — many are open till 2am.,Food & Drink
Take your trash with you — Singapore is known for cleanliness.,Etiquette
Use an EZ-Link card to tap on buses like a local ninja.,Transport
"Try saying thank you in Mandarin, Malay, Tamil and Singlish.",Language & Communication
Visit a void deck (open ground floor of flats) and observe daily life.,Culture & History
Use ‘lah’ to soften your tone — it works for any sentence.,Language & Communication
Catch lion dances live during Chinese New Year at malls.,Festivals & Events
Visit a Taoist temple — light incense and observe respectfully.,Religious Etiquette
Step into a mosque during visiting hours — attire may be provided.,Religious Etiquette
Explore hidden alleys in Chinatown for murals and old shops.,Culture & History
"Try Peranakan cuisine for a spicy, colorful cultural blend.",Food & Drink
Buy a SIM card at the airport — 100GB for the price of kopi!,Travel Tips
Drink from a plastic bag with a straw — very old-school local.,Food & Drink
"Eat carrot cake — surprise, it’s not a dessert!",Food & Drink
Take off your shoes when entering homes or temples.,Etiquette
Explore Pulau Ubin by bike for kampong (village) vibes.,Nature & Outdoors
"Download Grab — it’s the Uber, food delivery, and e-wallet in one.",Lifestyle
Don’t jaywalk — hefty fines are a real thing.,Etiquette
Enjoy free Wi-Fi in public libraries and shopping malls.,Lifestyle
Say ‘Uncle’ or ‘Auntie’ when calling older strangers — it's polite!,Etiquette
"Attend a kopi appreciation class — yes, they exist!",Food & Drink
Try prata flipping at an Indian food stall — they'll cheer you on.,Food & Drink
Use your hands to eat banana leaf rice — just like locals do.,Food & Drink
Watch open-air movie screenings at neighbourhood parks.,Lifestyle
Find the heart-shaped void deck columns — they're Instagram-famous.,Culture & History
Visit a hawker centre during lunch rush for the full chaotic vibe.,Food & Drink
Spot heartland birds — mynahs and hornbills are everywhere.,Nature & Outdoors
Take the Singapore River Cruise at sunset for skyline views.,Travel Tips
Try yusheng during Lunar New Year and toss it loudly for luck.,Festivals & Events
