Longitude,Latitude,Name,Address,Overview,Postal Code
103.851356,1.29,National Gallery Singapore,1 St Andrew's Road,Take in the regionâ€™s newest and largest museum of modern Singapore and Southeast Asian art housed within two of Singaporeâ€™s awe-inspiring national monuments.     EXTERNAL_LINK   http://www.nationalgallery.sg,178957
103.859171,1.302,Sultan Mosque (Masjid Sultan) Singapore,3 Muscat Street,"Also known as Masjid Sultan, the impressive Sultan Mosque in historic Kampong Glam is the focal point for Singaporeâ€™s Muslim community.     EXTERNAL_LINK   http://www.sultanmosque.org.sg",199465
103.84538,1.282,Sri Mariamman Temple: Hindu Temple in Singapore,244 South Bridge Road,"Located in Chinatown, the Sri Mariamman Temple dates back to 1827 and is the oldest Hindu temple in Singapore.     EXTERNAL_LINK   http://heb.gov.sg/our-subsidiaries/temples/sri-mariamman-temple.aspx",058814
103.84966,1.293,Armenian Church in Singapore,60 Hill Street,The oldest Christian church in Singapore is an architectural masterpiece from the early 19th century.     EXTERNAL_LINK   http://www.armeniansinasia.org/,179365
103.85168,1.295,CHIJMES Singapore,30 Victoria Street,"Whether functioning as a school or a lifestyle and entertainment complex, it appears the beauty of CHIJMES is only equalled by its versatility.     EXTERNAL_LINK   http://chijmes.com.sg/",187996
103.85231,1.292,St Andrewâ€™s Cathedral- Singapore Architecture Landmark,11 St Andrew's Road,Singapore's largest cathedral is a stellar example of colonial-era architecture and heritage.     EXTERNAL_LINK   http://www.livingstreams.org.sg/sac/visitors.html,178959
103.8435853,1.281198,Kreta Ayer Square,Banda Street        050005,EXTERNAL_LINK,050005
103.8534848,1.2995489,Albert Mall Trishaw Park,Queen Street        188542,EXTERNAL_LINK,188970
103.8437924,1.2825533,Chinatown Food Street,Smith Street        058938,EXTERNAL_LINK,058956
103.84435,1.284,"Chinatown Heritage Centre, Singapore",48 Pagoda Street,Experience how Singaporeâ€™s early Chinese migrants once lived and learn more about local Chinese culture at the Chinatown Heritage Centre.     EXTERNAL_LINK   http://www.singaporechinatown.com.sg/,059491
103.84763,1.281,"Thian Hock Keng Temple, Singapore",158 Telok Ayer Street,"Beautifully restored, Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.     EXTERNAL_LINK   http://www.thianhockkeng.com.sg",068613
103.89942,1.31,Eurasian Heritage Centre: Singapore Attraction,139 Ceylon Road,This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.     EXTERNAL_LINK   http://www.eurasians.org.sg/,429744
103.837336,1.277,Shophouses,0,"With many beautifully preserved examples on hand today, the shophouses in Singapore are prime examples of timeless architectural appeal.     EXTERNAL_LINK",088884
103.85157,1.294,Capitol Building Singapore,11 Stamford Road,The queen of Singapore cinemas will soon reclaim her crown as the premier entertainment hub when Capitol Building reopens next year.     EXTERNAL_LINK   http://www.capitolsingapore.com,178906
103.85528,1.29,Esplanade Theatre,1 Esplanade Drive,This boldly designed performing arts centre has become a memorable part of Singaporeâ€™s skyline.     EXTERNAL_LINK   http://www.esplanade.com,039802
103.80305,1.282,The Interlace,180-226 Depot Road,Thereâ€™s more than meets the eye in The Interlaceâ€™s artful arrangement of residential blocks.     EXTERNAL_LINK   http://www.theinterlace.com,109684
103.846522,1.286,PARKROYAL on Pickering,3 Upper Pickering Street,PARKROYAL on Pickering is a luxurious garden oasis in downtown Singapore.     EXTERNAL_LINK   http://www.parkroyalhotels.com/en/hotels-resorts/singapore/pickering.html,058285
103.75749,1.419,Kranji War Memorial Landmark in Singapore,9 Woodlands Road,The Kranji War Memorial in Singapore honours the men and women from the Commonwealth who died in the line of duty during World War II.     EXTERNAL_LINK   http://bit.ly/19MZ0SB,738656
103.854217,1.29,Indian National Army (INA) Monument in Singapore,Esplanade Park        0,This marker at Esplanade Park was one of the eleven World War II markers erected in 1995 to commemorate the 50th anniversary of the end of World War II.     EXTERNAL_LINK   http://www.nhb.gov.sg/places/historic-sites/indian-national-army-memorial,179682
103.79433,1.28,Reflections at Bukit Chandu: Singapore War Memorial,31-K Pepys Road,"This heritage centre relives the Battle of Pasir Panjang, one of the fiercest battles fought against the Japanese in Singapore during World War II.     EXTERNAL_LINK   http://www.nhb.gov.sg/museums/reflections-at-bukit-chandu",118458
103.853838,1.29,The Cenotaph - a Singapore War Memorial Landmark,"Esplanade Park, Connaught Drive        0",This war memorial in Esplanade Park honours the heroes who fought and died during World War I and World War II.     EXTERNAL_LINK   http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/esplanade-park-memorials,179682
103.854618,1.293,The Civilian War Memorial park in Singapore,Bras Basah Road & Beach Road intersection,"Situated at the War Memorial Park in Beach Road, this memorial commemorates civilian victims of the Japanese Occupation in Singapore.     EXTERNAL_LINK   http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/civilian-war-memorial",189768
103.85258,1.308,Sri Veeramakaliamman Temple: Hindu Temple in Singapore,141 Serangoon Road,"Sri Veeramakaliamman Temple is one of Singaporeâ€™s oldest Hindu temples, in the heart of Little India.     EXTERNAL_LINK   http://www.sriveeramakaliamman.com/",218042
103.85081,1.298,Maghain Aboth Synagogue,24/26 Waterloo Street,"The Maghain Aboth Synagogue is a gem in more ways than one, providing both a snapshot of history and a glimpse into a rich culture.     EXTERNAL_LINK   http://www.singaporejews.com",187950
103.85128,1.29,Old Supreme Court Singapore,1 St Andrew's Road,"From dispensing justice to displaying art, the Old Supreme Court undergoes an overhaul for its new role as the National Gallery Singapore.     EXTERNAL_LINK   http://app.supremecourt.gov.sg/",178957
103.8336,1.284,SIT Flats Singapore,Seng Poh Road and Tiong Bahru Road        0,Take a walk back in time through the Art Deco architecture in the heritage neighbourhood of Tiong Bahru.     EXTERNAL_LINK,160063
103.85044,1.281,Lau Pa Sat Singapore,18 Raffles Quay,"The grande dame of markets in Singapore, Lau Pa Sat blends history, striking architecture and scrumptious local food into one heady experience.      EXTERNAL_LINK   http://www.laupasat.biz",048582
103.85986,1.303,"Malay Heritage Centre, Singapore",85 Sultan Gate,The Malay Heritage Centre is a must-visit if youâ€™re keen on learning about the rich heritage and culture of Singaporeâ€™s Malay community.      EXTERNAL_LINK   http://www.malayheritage.org.sg,198501
103.8492,1.294,Peranakan Museum Singapore: History & Culture,39 Armenian Street,"Get to know Singaporeâ€™s vibrant Peranakan community and history at this top-notch museum, filled with fine artefacts and fun exhibits.     EXTERNAL_LINK   http://peranakanmuseum.org.sg/",000617
103.85404,1.296,Raffles Singapore,1 Beach Road,"Hark back to a golden age of elegant refinement and gracious living at Raffles Singapore, where the past reawakens to glorious life.     EXTERNAL_LINK   http://www.raffleshotel.com",188719
103.80459,1.278,Gillman Barracks â€“ YourSingapore,9 Lock Road,A former British military camp is now Asia's new Destination for Contemporary Art.     EXTERNAL_LINK   https://www.gillmanbarracks.com/,108940
103.85929,1.286,ArtScience Museum Singapore,6 Bayfront Ave,Catch world-class touring exhibitions at this premier exhibition space.     EXTERNAL_LINK   http://www.marinabaysands.com/museum.html,018956
103.85168,1.297,SAM at 8Q & Singapore Art Museum,8 Queen Street,"An extension of the Singapore Art Museum, SAM at 8Q features contemporary art exhibitions and is home to a Moving Image Gallery, where film screenings are held.     EXTERNAL_LINK",188534
